Symbol,Name,Sector,industry,exchangemarket
DDD,3D Systems Corporation,Technology,Computer Software: Prepackaged Software,NYSE
MMM,3M Company,Health Care,Medical/Dental Instruments,NYSE
WBAI,500.com Limited,Consumer Services,Services-Misc. Amusement & Recreation,NYSE
WUBA,58.com Inc.,Technology,"Computer Software: Programming, Data Processing",NYSE
AHC,A.H. Belo Corporation,Consumer Services,Newspapers/Magazines,NYSE
ATEN,"A10 Networks, Inc.",Technology,Computer Communications Equipment,NYSE
AAC,"AAC Holdings, Inc.",Health Care,Medical Specialities,NYSE
AIR,AAR Corp.,Capital Goods,Aerospace,NYSE
AAN,"Aaron&#39;s,  Inc.",Technology,Diversified Commercial Services,NYSE
ABB,ABB Ltd,Consumer Durables,Electrical Products,NYSE
ABT,Abbott Laboratories,Health Care,Major Pharmaceuticals,NYSE
ABBV,AbbVie Inc.,Health Care,Major Pharmaceuticals,NYSE
ANF,Abercrombie & Fitch Company,Consumer Services,Clothing/Shoe/Accessory Stores,NYSE
GCH,"Aberdeen Greater China Fund, Inc.",null,null,NYSE
JEQ,"Aberdeen Japan Equity Fund, Inc. ",null,null,NYSE
SGF,"Aberdeen Singapore Fund, Inc.",null,null,NYSE
ABM,ABM Industries Incorporated,Finance,Diversified Commercial Services,NYSE
AKR,Acadia Realty Trust,Consumer Services,Real Estate Investment Trusts,NYSE
ACN,Accenture plc,Miscellaneous,Business Services,NYSE
ACCO,Acco Brands Corporation,Consumer Durables,Publishing,NYSE
ACW,Accuride Corporation New,Capital Goods,Auto Parts:O.E.M.,NYSE
ATV,"Acorn International, Inc.",Consumer Services,Other Specialty Stores,NYSE
ATU,Actuant Corporation,Technology,Industrial Machinery/Components,NYSE
AYI,Acuity Brands Inc,Consumer Durables,Building Products,NYSE
ADX,"Adams Diversified Equity Fund, Inc.",null,null,NYSE
PEO,"Adams Natural Resources Fund, Inc.",null,null,NYSE
AGRO,Adecoagro S.A.,Consumer Non-Durables,Farming/Seeds/Milling,NYSE
ADPT,Adeptus Health Inc.,Health Care,Hospital/Nursing Management,NYSE
AAP,Advance Auto Parts Inc,Consumer Services,Other Specialty Stores,NYSE
WMS,"Advanced Drainage Systems, Inc.",Capital Goods,Containers/Packaging,NYSE
ASX,"Advanced Semiconductor Engineering, Inc.",Technology,Semiconductors,NYSE
APFH,"AdvancePierre Foods Holdings, Inc.",Consumer Non-Durables,Packaged Foods,NYSE
AAV,Advantage Oil & Gas Ltd,Energy,Oil & Gas Production,NYSE
AVK,Advent Claymore Convertible Securities and Income Fund,null,null,NYSE
AGC,Advent Claymore Convertible Securities and Income Fund II,null,null,NYSE
LCM,Advent/Claymore Enhanced Growth & Income Fund,null,null,NYSE
ACM,AECOM,Consumer Services,Military/Government/Technical,NYSE
ANW,Aegean Marine Petroleum Network Inc.,Energy,Oil Refining/Marketing,NYSE
AEB,Aegon NV,Finance,Life Insurance,NYSE
AED,Aegon NV,Finance,Life Insurance,NYSE
AEG,Aegon NV,Finance,Life Insurance,NYSE
AEH,Aegon NV,Finance,Life Insurance,NYSE
AEK,Aegon NV,Finance,Life Insurance,NYSE
AER,Aercap Holdings N.V.,Technology,Diversified Commercial Services,NYSE
HIVE,"Aerohive Networks, Inc.",Technology,EDP Services,NYSE
AJRD,"Aerojet Rocketdyne Holdings, Inc. ",Capital Goods,Military/Government/Technical,NYSE
AET,Aetna Inc.,Health Care,Medical Specialities,NYSE
AMG,"Affiliated Managers Group, Inc.",Finance,Investment Managers,NYSE
MGR,"Affiliated Managers Group, Inc.",Finance,Investment Managers,NYSE
AFL,Aflac Incorporated,Finance,Accident &Health Insurance,NYSE
AFSD,Aflac Incorporated,Finance,Accident &Health Insurance,NYSE
MITT,"AG Mortgage Investment Trust, Inc.",null,null,NYSE
MITT^A,"AG Mortgage Investment Trust, Inc.",null,null,NYSE
MITT^B,"AG Mortgage Investment Trust, Inc.",null,null,NYSE
AGCO,AGCO Corporation,Capital Goods,Industrial Machinery/Components,NYSE
A,"Agilent Technologies, Inc.",Capital Goods,Biotechnology: Laboratory Analytical Instruments,NYSE
AEM,Agnico Eagle Mines Limited,Basic Industries,Precious Metals,NYSE
ADC,Agree Realty Corporation,Consumer Services,Real Estate Investment Trusts,NYSE
GRO,Agria Corporation,Consumer Non-Durables,Farming/Seeds/Milling,NYSE
AGU,Agrium Inc.,Basic Industries,Agricultural Chemicals,NYSE
AL,Air Lease Corporation,Technology,Diversified Commercial Services,NYSE
APD,"Air Products and Chemicals, Inc.",Basic Industries,Major Chemicals,NYSE
AYR,Aircastle Limited,Technology,Diversified Commercial Services,NYSE
AKS,AK Steel Holding Corporation,Basic Industries,Steel/Iron Ore,NYSE
ALP^O,Alabama Power Company,Public Utilities,Electric Utilities: Central,NYSE
ALG,"Alamo Group, Inc.",Capital Goods,Industrial Machinery/Components,NYSE
AGI,Alamos Gold Inc.,Basic Industries,Precious Metals,NYSE
ALK,"Alaska Air Group, Inc.",Transportation,Air Freight/Delivery Services,NYSE
AIN,Albany International Corporation,Basic Industries,Textiles,NYSE
ALB,Albemarle Corporation,Basic Industries,Major Chemicals,NYSE
AA,Alcoa Inc.,Capital Goods,Metal Fabrications,NYSE
AA^B,Alcoa Inc.,null,null,NYSE
ALR,Alere Inc.,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,NYSE
ALR^B,Alere Inc.,null,null,NYSE
ALEX,"Alexander & Baldwin Holdings, Inc.",Finance,Real Estate,NYSE
ALX,"Alexander&#39;s, Inc.",Consumer Services,Real Estate Investment Trusts,NYSE
ARE,"Alexandria Real Estate Equities, Inc.",Consumer Services,Real Estate Investment Trusts,NYSE
ARE^D,"Alexandria Real Estate Equities, Inc.",null,null,NYSE
ARE^E,"Alexandria Real Estate Equities, Inc.",null,null,NYSE
BABA,Alibaba Group Holding Limited,Miscellaneous,Business Services,NYSE
Y,Alleghany Corporation,Finance,Property-Casualty Insurers,NYSE
ATI,Allegheny Technologies Incorporated,Basic Industries,Steel/Iron Ore,NYSE
ALLE,Allegion plc,Consumer Services,Diversified Commercial Services,NYSE
AGN,Allergan plc.,Health Care,Major Pharmaceuticals,NYSE
AGN^A,Allergan plc.,null,null,NYSE
ALE,"Allete, Inc.",Public Utilities,Power Generation,NYSE
AKP,Alliance California Municipal Income Fund Inc,null,null,NYSE
ADS,Alliance Data Systems Corporation,Miscellaneous,Business Services,NYSE
AFB,Alliance National Municipal Income Fund Inc,null,null,NYSE
AOI,"Alliance One International, Inc.",Consumer Services,Farming/Seeds/Milling,NYSE
AWF,Alliance World Dollar Government Fund II,null,null,NYSE
AB,AllianceBernstein Holding L.P.,Finance,Investment Managers,NYSE
LNT,Alliant Energy Corporation,Public Utilities,Power Generation,NYSE
NCV,AllianzGI Convertible & Income Fund,null,null,NYSE
NCZ,AllianzGI Convertible & Income Fund II,null,null,NYSE
ACV,AllianzGI Diversified Income & Convertible Fund,null,null,NYSE
NIE,AllianzGI Equity & Convertible Income Fund,null,null,NYSE
NFJ,"AllianzGI NFJ Dividend, Interest & Premium Strategy Fund",Finance,Finance: Consumer Services,NYSE
AWH,"Allied World Assurance Company Holdings, AG",Finance,Property-Casualty Insurers,NYSE
ALSN,"Allison Transmission Holdings, Inc.",Capital Goods,Auto Parts:O.E.M.,NYSE
ALL,Allstate Corporation (The),Finance,Property-Casualty Insurers,NYSE
ALL^A,Allstate Corporation (The),null,null,NYSE
ALL^B,Allstate Corporation (The),null,null,NYSE
ALL^C,Allstate Corporation (The),null,null,NYSE
ALL^D,Allstate Corporation (The),null,null,NYSE
ALL^E,Allstate Corporation (The),null,null,NYSE
ALL^F,Allstate Corporation (The),null,null,NYSE
ALLY,Ally Financial Inc.,Finance,Finance: Consumer Services,NYSE
ALLY^A,Ally Financial Inc.,null,null,NYSE
ALJ,"Alon USA Energy, Inc.",Energy,Integrated oil Companies,NYSE
ALDW,"Alon USA Partners, LP",Energy,Integrated oil Companies,NYSE
AGD,Alpine Global Dynamic Dividend Fund,null,null,NYSE
AWP,Alpine Global Premier Properties Fund,null,null,NYSE
AOD,Alpine Total Dynamic Dividend Fund,null,null,NYSE
RESI,Altisource Residential Corporation,Finance,Real Estate,NYSE
MO,Altria Group,Consumer Non-Durables,Farming/Seeds/Milling,NYSE
ACH,Aluminum Corporation of China Limited,Basic Industries,Aluminum,NYSE
AMBR,"Amber Road, Inc.",Technology,Computer Software: Prepackaged Software,NYSE
ABEV,Ambev S.A.,Consumer Non-Durables,Beverages (Production/Distribution),NYSE
AMC,"AMC Entertainment Holdings, Inc.",Consumer Services,Movies/Entertainment,NYSE
AMFW,Amec Plc Ord,Consumer Services,Military/Government/Technical,NYSE
AEE,Ameren Corporation,Public Utilities,Power Generation,NYSE
AMRC,"Ameresco, Inc.",Basic Industries,Engineering & Construction,NYSE
AMX,"America Movil, S.A.B. de C.V.",Public Utilities,Telecommunications Equipment,NYSE
AAT,"American Assets Trust, Inc.",Consumer Services,Real Estate Investment Trusts,NYSE
AXL,"American Axle & Manufacturing Holdings, Inc.",Capital Goods,Auto Parts:O.E.M.,NYSE
ACC,American Campus Communities Inc,Consumer Services,Real Estate Investment Trusts,NYSE
AEO,"American Eagle Outfitters, Inc.",Consumer Services,Clothing/Shoe/Accessory Stores,NYSE
AEP,"American Electric Power Company, Inc.",Public Utilities,Electric Utilities: Central,NYSE
AEL,American Equity Investment Life Holding Company,Finance,Life Insurance,NYSE
AXP,American Express Company,Finance,Finance: Consumer Services,NYSE
AFA,"American Financial Group, Inc.",Finance,Property-Casualty Insurers,NYSE
AFG,"American Financial Group, Inc.",Finance,Property-Casualty Insurers,NYSE
AFGE,"American Financial Group, Inc.",Finance,Property-Casualty Insurers,NYSE
AFGH,"American Financial Group, Inc.",Finance,Property-Casualty Insurers,NYSE
AFW,"American Financial Group, Inc.",Finance,Property-Casualty Insurers,NYSE
AMH,American Homes 4 Rent,Consumer Services,Real Estate Investment Trusts,NYSE
AMH^A,American Homes 4 Rent,Consumer Services,Real Estate Investment Trusts,NYSE
AMH^B,American Homes 4 Rent,null,null,NYSE
AMH^C,American Homes 4 Rent,null,null,NYSE
AMH^D,American Homes 4 Rent,null,null,NYSE
AMH^E,American Homes 4 Rent,null,null,NYSE
AIG,"American International Group, Inc.",Finance,Property-Casualty Insurers,NYSE
AIG.WS,"American International Group, Inc.",null,null,NYSE
AMID,"American Midstream Partners, LP",Public Utilities,Natural Gas Distribution,NYSE
ARL,"American Realty Investors, Inc.",Finance,Real Estate,NYSE
ARA,"American Renal Associates Holdings, Inc",Health Care,Hospital/Nursing Management,NYSE
AWR,American States Water Company,Public Utilities,Water Supply,NYSE
AMT,American Tower Corporation (REIT),Consumer Services,Real Estate Investment Trusts,NYSE
AMT^A,American Tower Corporation (REIT),null,null,NYSE
AMT^B,American Tower Corporation (REIT),null,null,NYSE
AVD,American Vanguard Corporation,Basic Industries,Agricultural Chemicals,NYSE
AWK,American Water Works,Public Utilities,Water Supply,NYSE
APU,"AmeriGas Partners, L.P.",Consumer Services,Other Specialty Stores,NYSE
AMP,"AMERIPRISE FINANCIAL SERVICES, INC.",Finance,Investment Managers,NYSE
ABC,AmerisourceBergen Corporation (Holding Co),Health Care,Other Pharmaceuticals,NYSE
ANFI,Amira Nature Foods Ltd,Consumer Non-Durables,Packaged Foods,NYSE
AHS,AMN Healthcare Services Inc,Technology,Professional Services,NYSE
AP,Ampco-Pittsburgh Corporation,Capital Goods,Fluid Controls,NYSE
APH,Amphenol Corporation,Capital Goods,Electrical Products,NYSE
BETR,"Amplify Snack Brands, inc.",Consumer Non-Durables,Packaged Foods,NYSE
AXR,AMREP Corporation,Consumer Services,Newspapers/Magazines,NYSE
AME,"AMTEK, Inc.",Consumer Durables,Metal Fabrications,NYSE
AFSI^A,"AmTrust Financial Services, Inc.",null,null,NYSE
AFSI^B,"AmTrust Financial Services, Inc.",null,null,NYSE
AFSI^C,"AmTrust Financial Services, Inc.",null,null,NYSE
AFSI^D,"AmTrust Financial Services, Inc.",null,null,NYSE
AFSI^E,"AmTrust Financial Services, Inc.",null,null,NYSE
AFSS,"AmTrust Financial Services, Inc.",Finance,Property-Casualty Insurers,NYSE
AFST,"AmTrust Financial Services, Inc.",Finance,Property-Casualty Insurers,NYSE
AEUA,Anadarko Petroleum Corporation,Energy,Oil & Gas Production,NYSE
APC,Anadarko Petroleum Corporation,Energy,Oil & Gas Production,NYSE
AU,AngloGold Ashanti Limited,Basic Industries,Precious Metals,NYSE
BUD,Anheuser-Busch Inbev SA,Consumer Non-Durables,Beverages (Production/Distribution),NYSE
AXE,Anixter International Inc.,Consumer Non-Durables,Telecommunications Equipment,NYSE
NLY,Annaly Capital Management Inc,Consumer Services,Real Estate Investment Trusts,NYSE
NLY^A,Annaly Capital Management Inc,null,null,NYSE
NLY^C,Annaly Capital Management Inc,null,null,NYSE
NLY^D,Annaly Capital Management Inc,null,null,NYSE
NLY^E,Annaly Capital Management Inc,null,null,NYSE
AM,Antero Midstream Partners LP,Public Utilities,Natural Gas Distribution,NYSE
AR,Antero Resources Corporation,Energy,Oil & Gas Production,NYSE
ANTM,"Anthem, Inc.",Health Care,Medical Specialities,NYSE
ANTX,"Anthem, Inc.",Health Care,Medical Specialities,NYSE
ANH,Anworth Mortgage Asset  Corporation,Consumer Services,Real Estate Investment Trusts,NYSE
ANH^A,Anworth Mortgage Asset  Corporation,null,null,NYSE
ANH^B,Anworth Mortgage Asset  Corporation,null,null,NYSE
ANH^C,Anworth Mortgage Asset  Corporation,null,null,NYSE
AON,Aon plc,Finance,Specialty Insurers,NYSE
APA,Apache Corporation,Energy,Oil & Gas Production,NYSE
AIV,Apartment Investment and Management Company,Consumer Services,Real Estate Investment Trusts,NYSE
AIV^A,Apartment Investment and Management Company,null,null,NYSE
ARI,Apollo Commercial Real Estate Finance,Consumer Services,Real Estate Investment Trusts,NYSE
ARI^A,Apollo Commercial Real Estate Finance,null,null,NYSE
APO,"Apollo Global Management, LLC",Finance,Investment Managers,NYSE
AIB,Apollo Investment Corporation,null,null,NYSE
AIY,Apollo Investment Corporation,null,null,NYSE
AMTG,"Apollo Residential Mortgage, Inc.",Consumer Services,Real Estate Investment Trusts,NYSE
AMTG^A,"Apollo Residential Mortgage, Inc.",null,null,NYSE
AFT,Apollo Senior Floating Rate Fund Inc.,null,null,NYSE
AIF,Apollo Tactical Income Fund Inc.,null,null,NYSE
APLE,"Apple Hospitality REIT, Inc.",Consumer Services,Real Estate Investment Trusts,NYSE
AIT,"Applied Industrial Technologies, Inc.",Consumer Durables,Industrial Specialties,NYSE
ATR,"AptarGroup, Inc.",Consumer Non-Durables,Plastic Products,NYSE
WTR,"Aqua America, Inc.",Public Utilities,Water Supply,NYSE
ARMK,Aramark,Consumer Services,Restaurants,NYSE
ABR,Arbor Realty Trust,Consumer Services,Real Estate Investment Trusts,NYSE
ABR^A,Arbor Realty Trust,null,null,NYSE
ABR^B,Arbor Realty Trust,null,null,NYSE
ABR^C,Arbor Realty Trust,null,null,NYSE
ABRN,Arbor Realty Trust,Consumer Services,Real Estate Investment Trusts,NYSE
ARC,"ARC Document Solutions, Inc.",Consumer Services,Professional Services,NYSE
ARCX,Arc Logistic Partners LP,Energy,Oil Refining/Marketing,NYSE
MT,ArcelorMittal,Basic Industries,Steel/Iron Ore,NYSE
ARH^C,Arch Capital Group Ltd.,null,null,NYSE
ADM,Archer-Daniels-Midland Company,Consumer Non-Durables,Packaged Foods,NYSE
AROC,"Archrock, Inc.",Technology,Diversified Commercial Services,NYSE
ARCO,Arcos Dorados Holdings Inc.,Consumer Services,Restaurants,NYSE
ASC,Ardmore Shipping Corporation,Transportation,Marine Transportation,NYSE
AFC,Ares Capital Corporation,null,null,NYSE
ARU,Ares Capital Corporation,null,null,NYSE
ACRE,Ares Commercial Real Estate Corporation,Consumer Services,Real Estate Investment Trusts,NYSE
ARDC,"Ares Dynamic Credit Allocation Fund, Inc.",null,null,NYSE
ARES,Ares Management L.P.,Finance,Investment Managers,NYSE
ARES^A,Ares Management L.P.,null,null,NYSE
AGX,"Argan, Inc.",Basic Industries,Engineering & Construction,NYSE
ANET,"Arista Networks, Inc.",Technology,Computer Communications Equipment,NYSE
AI,Arlington Asset Investment Corp,Finance,Finance/Investors Services,NYSE
AIC,Arlington Asset Investment Corp,Finance,Finance/Investors Services,NYSE
AIW,Arlington Asset Investment Corp,Finance,Finance/Investors Services,NYSE
AHH,"Armada Hoffler Properties, Inc.",Finance,Real Estate,NYSE
ARR,"ARMOUR Residential REIT, Inc.",Consumer Services,Real Estate Investment Trusts,NYSE
ARR^A,"ARMOUR Residential REIT, Inc.",null,null,NYSE
ARR^B,"ARMOUR Residential REIT, Inc.",null,null,NYSE
AFI,"Armstrong Flooring, Inc.",Consumer Non-Durables,Plastic Products,NYSE
AWI,Armstrong World Industries Inc,Consumer Non-Durables,Plastic Products,NYSE
ARW,"Arrow Electronics, Inc.",Consumer Non-Durables,Electronic Components,NYSE
AJG,Arthur J. Gallagher & Co.,Finance,Specialty Insurers,NYSE
APAM,Artisan Partners Asset Management Inc.,Finance,Investment Managers,NYSE
ASA,ASA Gold and Precious Metals Limited,null,null,NYSE
ABG,Asbury Automotive Group Inc,Consumer Durables,Automotive Aftermarket,NYSE
AHP,"Ashford Hospitality Prime, Inc.",Consumer Services,Real Estate Investment Trusts,NYSE
AHP^B,"Ashford Hospitality Prime, Inc.",null,null,NYSE
AHT,Ashford Hospitality Trust Inc,Consumer Services,Real Estate Investment Trusts,NYSE
AHT^A,Ashford Hospitality Trust Inc,null,null,NYSE
AHT^D,Ashford Hospitality Trust Inc,null,null,NYSE
AHT^F,Ashford Hospitality Trust Inc,null,null,NYSE
ASH,Ashland Inc.,Consumer Durables,Specialty Chemicals,NYSE
APB,"Asia Pacific Fund, Inc. (The)",null,null,NYSE
GRR,"Asia Tigers Fund, Inc. (The)",null,null,NYSE
ASPN,"Aspen Aerogels, Inc.",Consumer Services,RETAIL: Building Materials,NYSE
AHL,Aspen Insurance Holdings Limited,Finance,Property-Casualty Insurers,NYSE
AHL^A,Aspen Insurance Holdings Limited,null,null,NYSE
AHL^B,Aspen Insurance Holdings Limited,null,null,NYSE
AHL^C,Aspen Insurance Holdings Limited,null,null,NYSE
ASB,Associated Banc-Corp,Finance,Major Banks,NYSE
ASB^B.CL,Associated Banc-Corp,null,null,NYSE
ASB^C,Associated Banc-Corp,null,null,NYSE
AC,"Associated Capital Group, Inc.",Finance,Investment Bankers/Brokers/Service,NYSE
AIZ,"Assurant, Inc.",Finance,Accident &Health Insurance,NYSE
AGO,Assured Guaranty Ltd.,Finance,Property-Casualty Insurers,NYSE
AGO^B,Assured Guaranty Ltd.,null,null,NYSE
AGO^E,Assured Guaranty Ltd.,null,null,NYSE
AGO^F,Assured Guaranty Ltd.,null,null,NYSE
AF,Astoria Financial Corporation,Finance,Savings Institutions,NYSE
AF^C,Astoria Financial Corporation,null,null,NYSE
AZN,Astrazeneca PLC,Health Care,Major Pharmaceuticals,NYSE
HOME,At Home Group Inc.,Consumer Services,Home Furnishings,NYSE
T,AT&T Inc.,Public Utilities,Telecommunications Equipment,NYSE
ATTO,Atento S.A.,Public Utilities,Telecommunications Equipment,NYSE
ATKR,Atkore International Group Inc.,Miscellaneous,Industrial Machinery/Components,NYSE
AT,Atlantic Power Corporation,Energy,Electric Utilities: Central,NYSE
ATO,Atmos Energy Corporation,Public Utilities,Oil/Gas Transmission,NYSE
ATW,"Atwood Oceanics, Inc.",Energy,Oil & Gas Production,NYSE
AUO,AU Optronics Corp,Technology,Semiconductors,NYSE
ATHM,Autohome Inc.,Technology,EDP Services,NYSE
ALV,"Autoliv, Inc.",Capital Goods,Auto Parts:O.E.M.,NYSE
AN,"AutoNation, Inc.",Consumer Durables,Automotive Aftermarket,NYSE
AZO,"AutoZone, Inc.",Consumer Services,Other Specialty Stores,NYSE
AVB,"AvalonBay Communities, Inc.",Consumer Services,Real Estate Investment Trusts,NYSE
AGR,"Avangrid, Inc.",Public Utilities,Electric Utilities: Central,NYSE
ACP,Avenue Income Credit Strategies Fund,null,null,NYSE
AVY,Avery Dennison Corporation,Consumer Durables,Containers/Packaging,NYSE
AVG,AVG Technologies N.V.,Technology,Computer Software: Prepackaged Software,NYSE
AVH,Avianca Holdings S.A.,Transportation,Air Freight/Delivery Services,NYSE
AVA,Avista Corporation,Public Utilities,Power Generation,NYSE
AV,Aviva plc,Finance,Life Insurance,NYSE
AVV,Aviva plc,Finance,Life Insurance,NYSE
AVT,"Avnet, Inc.",Consumer Non-Durables,Electronic Components,NYSE
AVP,"Avon Products, Inc.",Consumer Non-Durables,Package Goods/Cosmetics,NYSE
AVX,AVX Corporation,Capital Goods,Electrical Products,NYSE
AXTA,Axalta Coating Systems Ltd.,Basic Industries,Paints/Coatings,NYSE
AXLL,Axiall Corporation,Basic Industries,Major Chemicals,NYSE
AXS,Axis Capital Holdings Limited,Finance,Property-Casualty Insurers,NYSE
AXS^C,Axis Capital Holdings Limited,null,null,NYSE
AXS^D,Axis Capital Holdings Limited,null,null,NYSE
AZZ,AZZ Inc.,Consumer Durables,Building Products,NYSE
BGS,"B&G Foods, Inc.",Consumer Non-Durables,Packaged Foods,NYSE
BW,Babcock,Capital Goods,Building Products,NYSE
MCI,Babson Capital Corporate Investors,null,null,NYSE
BGH,Babson Capital Global Short Duration High Yield Fund,null,null,NYSE
MPV,Babson Capital Participation Investors,null,null,NYSE
BMI,"Badger Meter, Inc.",Capital Goods,Industrial Machinery/Components,NYSE
BHI,Baker Hughes Incorporated,Energy,Metal Fabrications,NYSE
BBN,BalckRock Taxable Municipal Bond Trust,null,null,NYSE
BLL,Ball Corporation,Consumer Durables,Containers/Packaging,NYSE
BGE^B,Baltimore Gas & Electric Company,null,null,NYSE
BANC,"Banc of California, Inc.",Finance,Major Banks,NYSE
BANC^C,"Banc of California, Inc.",null,null,NYSE
BANC^D,"Banc of California, Inc.",null,null,NYSE
BANC^E,"Banc of California, Inc.",null,null,NYSE
BBVA,Banco Bilbao Viscaya Argentaria S.A.,Finance,Commercial Banks,NYSE
BBD,Banco Bradesco Sa,Finance,Major Banks,NYSE
BBDO,Banco Bradesco Sa,Finance,Major Banks,NYSE
BCH,Banco De Chile,Finance,Commercial Banks,NYSE
BLX,"Banco Latinoamericano de Comercio Exterior, S.A.",Finance,Commercial Banks,NYSE
BSBR,Banco Santander Brasil SA,Finance,Commercial Banks,NYSE
BSAC,Banco Santander Chile,Finance,Commercial Banks,NYSE
SAN,"Banco Santander, S.A.",Finance,Commercial Banks,NYSE
SAN^A,"Banco Santander, S.A.",null,null,NYSE
SAN^B,"Banco Santander, S.A.",null,null,NYSE
SAN^C,"Banco Santander, S.A.",null,null,NYSE
SAN^I,"Banco Santander, S.A.",null,null,NYSE
CIB,BanColombia S.A.,Finance,Commercial Banks,NYSE
BXS,"BancorpSouth, Inc.",Finance,Major Banks,NYSE
BAC,Bank of America Corporation,Finance,Major Banks,NYSE
BAC.WS.A,Bank of America Corporation,null,null,NYSE
BAC.WS.B,Bank of America Corporation,null,null,NYSE
BAC^A,Bank of America Corporation,null,null,NYSE
BAC^C,Bank of America Corporation,null,null,NYSE
BAC^D,Bank of America Corporation,null,null,NYSE
BAC^E,Bank of America Corporation,null,null,NYSE
BAC^I,Bank of America Corporation,null,null,NYSE
BAC^L,Bank of America Corporation,null,null,NYSE
BAC^W,Bank of America Corporation,Finance,Major Banks,NYSE
BAC^Y,Bank of America Corporation,Finance,Major Banks,NYSE
BML^G,Bank of America Corporation,null,null,NYSE
BML^H,Bank of America Corporation,null,null,NYSE
BML^I,Bank of America Corporation,null,null,NYSE
BML^J,Bank of America Corporation,null,null,NYSE
BML^L,Bank of America Corporation,null,null,NYSE
BOH,Bank of Hawaii Corporation,Finance,Major Banks,NYSE
BMO,Bank Of Montreal,Finance,Commercial Banks,NYSE
BK,Bank Of New York Mellon Corporation (The),Finance,Major Banks,NYSE
BK^C,Bank Of New York Mellon Corporation (The),null,null,NYSE
BNS,Bank of Nova Scotia (The),Finance,Major Banks,NYSE
RATE,"Bankrate, Inc.",Technology,EDP Services,NYSE
BKU,"BankUnited, Inc.",Finance,Savings Institutions,NYSE
BCS,Barclays PLC,Finance,Commercial Banks,NYSE
BCS^.CL,Barclays PLC,null,null,NYSE
BCS^A,Barclays PLC,null,null,NYSE
BCS^D,Barclays PLC,null,null,NYSE
BNED,"Barnes & Noble Education, Inc",Consumer Services,Other Specialty Stores,NYSE
BKS,"Barnes & Noble, Inc.",Consumer Services,Other Specialty Stores,NYSE
B,"Barnes Group, Inc.",Capital Goods,Metal Fabrications,NYSE
CUDA,"Barracuda Networks, Inc.",Technology,Computer peripheral equipment,NYSE
ABX,Barrick Gold Corporation,Basic Industries,Precious Metals,NYSE
BAS,"Basic Energy Services, Inc.",Energy,Oilfield Services/Equipment,NYSE
BAX,Baxter International Inc.,Health Care,Medical/Dental Instruments,NYSE
BTE,Baytex Energy Corp,Energy,Oil & Gas Production,NYSE
BBT,BB&T Corporation,Finance,Major Banks,NYSE
BBT^D,BB&T Corporation,null,null,NYSE
BBT^E,BB&T Corporation,null,null,NYSE
BBT^F,BB&T Corporation,null,null,NYSE
BBT^G,BB&T Corporation,null,null,NYSE
BBT^H,BB&T Corporation,null,null,NYSE
BFR,BBVA Banco Frances S.A.,Finance,Commercial Banks,NYSE
BBX,BBX Capital Corporation,Finance,Savings Institutions,NYSE
BCE,"BCE, Inc.",Public Utilities,Telecommunications Equipment,NYSE
BZH,"Beazer Homes USA, Inc.",Capital Goods,Homebuilding,NYSE
BDX,"Becton, Dickinson and Company",Health Care,Medical/Dental Instruments,NYSE
BDC,Belden Inc,Basic Industries,Telecommunications Equipment,NYSE
BDC^B,Belden Inc,null,null,NYSE
BXE,Bellatrix Exploration Ltd,Energy,Oil & Gas Production,NYSE
BEL,Belmond Ltd.,Consumer Services,Hotels/Resorts,NYSE
BMS,"Bemis Company, Inc.",Consumer Durables,Containers/Packaging,NYSE
BHE,"Benchmark Electronics, Inc.",Technology,Electrical Products,NYSE
BRK.A,Berkshire Hathaway Inc.,null,null,NYSE
BRK.B,Berkshire Hathaway Inc.,null,null,NYSE
BHLB,"Berkshire Hills Bancorp, Inc.",Finance,Banks,NYSE
BBY,"Best Buy Co., Inc.",Consumer Services,Consumer Electronics/Video Chains,NYSE
BGCA,"BGC Partners, Inc.",Finance,Investment Bankers/Brokers/Service,NYSE
BHP,BHP Billiton Limited,Basic Industries,Precious Metals,NYSE
BBL,BHP Billiton plc,Energy,Coal Mining,NYSE
BIG,"Big Lots, Inc.",Consumer Services,Department/Specialty Retail Stores,NYSE
BH,Biglari Holdings Inc.,Consumer Services,Restaurants,NYSE
BBG,Bill Barrett Corporation,Energy,Oil & Gas Production,NYSE
BIOA,BioAmber Inc.,Basic Industries,Major Chemicals,NYSE
BIOA.WS,BioAmber Inc.,null,null,NYSE
BIO,"Bio-Rad Laboratories, Inc.",Capital Goods,Biotechnology: Laboratory Analytical Instruments,NYSE
BIO.B,"Bio-Rad Laboratories, Inc.",null,null,NYSE
BITA,Bitauto Holdings Limited,Technology,EDP Services,NYSE
BKH,Black Hills Corporation,Public Utilities,Electric Utilities: Central,NYSE
BKHU,Black Hills Corporation,Public Utilities,Electric Utilities: Central,NYSE
BKFS,"Black Knight Financial Services, Inc.",Technology,Computer Software: Prepackaged Software,NYSE
BSM,"Black Stone Minerals, L.P.",Energy,Oil & Gas Production,NYSE
BJZ,Blackrock California Municipal 2018 Term Trust,null,null,NYSE
BFZ,BlackRock California Municipal Income Trust,null,null,NYSE
CII,Blackrock Capital and Income Strategies Fund Inc,null,null,NYSE
BHK,Blackrock Core Bond Trust,null,null,NYSE
HYT,"Blackrock Corporate High Yield Fund, Inc.",null,null,NYSE
